Rank,Username,Level,Last Updated
114,yson,2.32,Jan—07—2019 at 02:19PM
115,bisingh,2.29,Jan—07—2019 at 02:19PM
116,wmaguire,2.27,Jan—07—2019 at 02:19PM
117,skythoma,2.26,Jan—07—2019 at 02:19PM
118,nfilin,2.23,Jan—07—2019 at 02:19PM
119,aazhiken,2.22,Jan—07—2019 at 02:19PM
120,cygross,2.22,Jan—07—2019 at 02:19PM
121,pgobeil-,2.21,Jan—07—2019 at 02:19PM
122,dishenbe,2.16,Jan—07—2019 at 02:19PM
123,dkurbano,2.15,Jan—07—2019 at 02:19PM
124,lde-la-g,2.14,Jan—07—2019 at 02:19PM
125,mmcarthu,2.08,Jan—07—2019 at 02:19PM
126,samahatt,2.03,Jan—07—2019 at 02:19PM
127,nolakim,2.02,Jan—07—2019 at 02:19PM
128,ssettle,1.83,Jan—07—2019 at 02:19PM
129,gmoreno-,1.81,Jan—07—2019 at 02:19PM
130,vhernand,1.78,Jan—07—2019 at 02:19PM
131,nnazaruk,1.77,Jan—07—2019 at 02:19PM
132,tvandivi,1.75,Jan—07—2019 at 02:19PM
133,jipark,1.71,Jan—07—2019 at 02:19PM
134,atomasev,1.7,Jan—07—2019 at 02:19PM
135,aleitner,1.64,Jan—07—2019 at 02:19PM
136,ititkov,1.64,Jan—07—2019 at 02:19PM
137,gmaximov,1.63,Jan—07—2019 at 02:19PM
138,apavlovs,1.56,Jan—07—2019 at 02:19PM
139,chuchan,1.56,Jan—07—2019 at 02:19PM
140,vabiga,1.56,Jan—07—2019 at 02:19PM
141,hecampbe,1.53,Jan—07—2019 at 02:19PM
142,jomuldro,1.44,Jan—07—2019 at 02:19PM
143,dhadzic,1.41,Jan—07—2019 at 02:19PM
144,yan-chen,1.41,Jan—07—2019 at 02:19PM
145,abialko,1.35,Jan—07—2019 at 02:19PM
146,kelugo,1.3,Jan—07—2019 at 02:19PM
147,emdiaz,1.23,Jan—07—2019 at 02:19PM
148,wharring,1.21,Jan—07—2019 at 02:19PM
149,sohan,1.18,Jan—07—2019 at 02:19PM
150,joshguti,1.16,Jan—07—2019 at 02:19PM
151,tbaasan,1.16,Jan—07—2019 at 02:19PM
152,salcindo,1.04,Jan—07—2019 at 02:19PM
153,jparbs,1.03,Jan—07—2019 at 02:19PM
154,csalceda,1.01,Jan—07—2019 at 02:19PM
155,jihong,1.01,Jan—07—2019 at 02:19PM
156,vbulakh,1.0,Jan—07—2019 at 02:19PM
157,asafonov,0.99,Jan—07—2019 at 02:19PM
158,bimunoz,0.97,Jan—07—2019 at 02:19PM
159,cgenthe,0.97,Jan—07—2019 at 02:19PM
160,cpinto-t,0.97,Jan—07—2019 at 02:19PM
161,hmoledin,0.92,Jan—07—2019 at 02:19PM
162,dhatting,0.88,Jan—07—2019 at 02:19PM
163,fraalvar,0.87,Jan—07—2019 at 02:19PM
164,crengifo,0.86,Jan—07—2019 at 02:19PM
165,shameer,0.86,Jan—07—2019 at 02:19PM
166,mrengifo,0.83,Jan—07—2019 at 02:19PM
167,awoodod,0.79,Jan—07—2019 at 02:19PM
168,mbavuudo,0.75,Jan—07—2019 at 02:19PM
169,prassolo,0.71,Jan—07—2019 at 02:19PM
170,alradzie,0.7,Jan—07—2019 at 02:19PM
171,mhuber,0.65,Jan—07—2019 at 02:19PM
172,mbernik,0.63,Jan—07—2019 at 02:19PM
173,rallen,0.56,Jan—07—2019 at 02:19PM
174,kergeorg,0.51,Jan—07—2019 at 02:19PM
175,pburton,0.51,Jan—07—2019 at 02:19PM
176,jnyveen,0.49,Jan—07—2019 at 02:19PM
177,khomar,0.47,Jan—07—2019 at 02:19PM
178,miadonis,0.47,Jan—07—2019 at 02:19PM
179,dpreciad,0.44,Jan—07—2019 at 02:19PM
180,jproleik,0.44,Jan—07—2019 at 02:19PM
181,whood,0.42,Jan—07—2019 at 02:19PM
182,atilahun,0.41,Jan—07—2019 at 02:19PM
183,wsun,0.4,Jan—07—2019 at 02:19PM
184,ykuanysh,0.38,Jan—07—2019 at 02:19PM
185,hkazimi,0.35,Jan—07—2019 at 02:19PM
186,ehuddas,0.26,Jan—07—2019 at 02:19PM
187,jhamada,0.26,Jan—07—2019 at 02:19PM
188,kachenna,0.26,Jan—07—2019 at 02:19PM
189,keperez,0.26,Jan—07—2019 at 02:19PM
190,mnovilla,0.26,Jan—07—2019 at 02:19PM
191,pgimzaus,0.26,Jan—07—2019 at 02:19PM
192,shaque,0.26,Jan—07—2019 at 02:19PM
193,smaletyc,0.26,Jan—07—2019 at 02:19PM
194,cdias-fl,0.23,Jan—07—2019 at 02:19PM
195,phwu,0.22,Jan—07—2019 at 02:19PM
196,tpugh,0.22,Jan—07—2019 at 02:19PM
197,vnazeri,0.22,Jan—07—2019 at 02:19PM
198,aakim,0.21,Jan—07—2019 at 02:19PM
199,ematevos,0.21,Jan—07—2019 at 02:19PM
200,jcollins,0.21,Jan—07—2019 at 02:19PM
201,sabeugre,0.21,Jan—07—2019 at 02:19PM
202,majames,0.18,Jan—07—2019 at 02:19PM
203,aliberal,0.12,Jan—07—2019 at 02:19PM
204,akantur,0.0,Jan—07—2019 at 02:19PM
205,aletsai,0.0,Jan—07—2019 at 02:19PM
206,almannil,0.0,Jan—07—2019 at 02:19PM
207,alrodrig,0.0,Jan—07—2019 at 02:19PM
208,alvyu,0.0,Jan—07—2019 at 02:19PM
209,aordonez,0.0,Jan—07—2019 at 02:19PM
210,athorne,0.0,Jan—07—2019 at 02:19PM
211,carrocha,0.0,Jan—07—2019 at 02:19PM
212,cnwachuk,0.0,Jan—07—2019 at 02:19PM
213,cratu,0.0,Jan—07—2019 at 02:19PM
214,csalazar,0.0,Jan—07—2019 at 02:19PM
215,dasmith,0.0,Jan—07—2019 at 02:19PM
216,dgarces,0.0,Jan—07—2019 at 02:19PM
217,dmota,0.0,Jan—07—2019 at 02:19PM
218,erchan,0.0,Jan—07—2019 at 02:19PM
219,eukoh,0.0,Jan—07—2019 at 02:19PM
220,eytbarek,0.0,Jan—07—2019 at 02:19PM
221,fgallego,0.0,Jan—07—2019 at 02:19PM
222,gjang,0.0,Jan—07—2019 at 02:19PM
223,hgonzale,0.0,Jan—07—2019 at 02:19PM
224,iadedoku,0.0,Jan—07—2019 at 02:19PM
225,ilerner,0.0,Jan—07—2019 at 02:19PM
226,jawang,0.0,Jan—07—2019 at 02:19PM
227,jpierre2,0.0,Jan—07—2019 at 02:19PM
228,kdominiq,0.0,Jan—07—2019 at 02:19PM
229,kkaralyu,0.0,Jan—07—2019 at 02:19PM
230,kmar,0.0,Jan—07—2019 at 02:19PM
231,laguilar,0.0,Jan—07—2019 at 02:19PM
232,liwong,0.0,Jan—07—2019 at 02:19PM
233,lkang,0.0,Jan—07—2019 at 02:19PM
234,mde-carv,0.0,Jan—07—2019 at 02:19PM
235,mhung,0.0,Jan—07—2019 at 02:19PM
236,mmansill,0.0,Jan—07—2019 at 02:19PM
237,mmollamo,0.0,Jan—07—2019 at 02:19PM
238,msemichi,0.0,Jan—07—2019 at 02:19PM
239,naokbazg,0.0,Jan—07—2019 at 02:19PM
240,ncarranz,0.0,Jan—07—2019 at 02:19PM
241,nmora-go,0.0,Jan—07—2019 at 02:19PM
242,nnwachuk,0.0,Jan—07—2019 at 02:19PM
243,obisiriy,0.0,Jan—07—2019 at 02:19PM
244,oboothe,0.0,Jan—07—2019 at 02:19PM
245,patrsory,0.0,Jan—07—2019 at 02:19PM
246,pchaika,0.0,Jan—07—2019 at 02:19PM
247,rarodrig,0.0,Jan—07—2019 at 02:19PM
248,smiller,0.0,Jan—07—2019 at 02:19PM
249,tleung,0.0,Jan—07—2019 at 02:19PM
250,tyoung,0.0,Jan—07—2019 at 02:19PM
251,yemha,0.0,Jan—07—2019 at 02:19PM
252,yijzhou,0.0,Jan—07—2019 at 02:19PM
253,ykashans,0.0,Jan—07—2019 at 02:19PM
254,zhzhai,0.0,Jan—07—2019 at 02:19PM
255,zpetrov,0.0,Jan—07—2019 at 02:19PM
